student,glasses,pulse,english,smoke,statsofar,h_left,h_right,handedness,love_htcm,statfuture,haircut,lecture,alone,height_in,hand_span,favcolor,lastsleep,sex,ageguess,year,lovetrueage,lovetrueht
202158,n,82,n,1,5,0,10,1,183,6,35,1,1,67,20,blue,4,NA,NA,2021,54.5,190
202157,n,72,y,1,4,0,10,1,183,NA,22,1,3,71,20,green,6.5,NA,NA,2021,54.5,190
202156,y,76,y,1,5,0,20,1,178,7,60,4,4,68,17.5,blue,8,NA,NA,2021,54.5,190
202155,y,66,y,1,5,3,7,0.4,178,7,30,5,4,72,23.5,blue,7,NA,NA,2021,54.5,190
202154,y,72,n,1,5,1,15,0.875,175,7,40,5,4,70,22,light blue,6,NA,NA,2021,54.5,190
202153,y,75,y,3,6,3,17,0.7,188,7,2,3,4,60,16.5,blue,9,NA,NA,2021,54.5,190
202152,y,96,y,1,3,4,16,0.6,191,5,50,3,2,67,18,green,8,NA,NA,2021,54.5,190
202151,y,92,y,1,5,0,17,1,188,5,0,3,3,71,22.5,green,7,NA,NA,2021,54.5,190
202150,y,64,y,2,7,0,19,1,188,7,40,4,3,65,21,NA,6,NA,NA,2021,54.5,190
202149,n,84,y,1,3,0,10,1,180,6,18,3,4,62,19,blue,5,NA,NA,2021,54.5,190
202148,y,60,y,1,5,1,19,0.9,180,7,0,3,4,64,18,blue,7.5,NA,NA,2021,54.5,190
202147,n,44,y,1,5,7,5,-0.166666667,180,7,0,4,4,74,22,green,8,NA,NA,2021,54.5,190
202146,y,65,y,1,5,1,12,0.846153846,178,5,70,3,4,73,24,black,6,NA,NA,2021,54.5,190
202145,y,84,y,1,5,13,0,-1,178,5,35,3,2,73,23.75,blue,6,NA,NA,2021,54.5,190
202144,n,80,y,2,4,0,15,1,180,6,20,3,3,70,23.5,blue,7,NA,NA,2021,54.5,190
202143,y,68,y,1,5,2,16,0.777777778,188,6,250,3,4,66,16.5,green,8,NA,NA,2021,54.5,190
202142,n,60,y,3,4,0,14,1,178,6,30,3,2,73,22.5,orange,9,NA,NA,2021,54.5,190
202141,y,72,y,1,5,16,3,-0.684210526,178,5,26,3,4,69,20.8,forest green,8,NA,NA,2021,54.5,190
202140,y,104,y,1,5,16,4,-0.6,183,7,100,3,4,64,20,lavender,7,NA,NA,2021,54.5,190
202139,y,72,y,1,4,0,10,1,170,6,60,3,2,64,21,purple,7,NA,NA,2021,54.5,190
